Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
50;21100322090;"Reviews in Fisheries Science and Aquaculture";journal;"23308249, 23308257";1,188;Q1;58;24;74;4331;325;73;3,94;180,46;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2020";"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Management, Monitoring, Policy and Law (Q1)"
51;21100873342;"Current Pollution Reports";journal;"21986592";1,174;Q1;16;30;76;3264;375;68;3,69;108,80;Germany;Western Europe;"Springer International Publishing AG";"2015-2020";"Management, Monitoring, Policy and Law (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)"
52;21100856538;"Entrepreneurship and Sustainability Issues";journal;"23450282";1,171;Q1;18;194;168;7696;964;168;5,74;39,67;Lithuania;Eastern Europe;"";"2017-2020";"Business and International Management (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Management of Technology and Innovation (Q1)"
53;21100908527;"Ecosystem Health and Sustainability";journal;"23328878, 20964129";1,158;Q1;17;23;94;1291;290;91;2,51;56,13;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2020";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Management, Monitoring, Policy and Law (Q1)"
54;6200180161;"International Journal of Greenhouse Gas Control";journal;"17505836";1,131;Q1;107;276;907;13336;3485;901;4,02;48,32;Netherlands;Western Europe;"Elsevier";"2007-2020";"Energy (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Pollution (Q1)"
55;21100305261;"Extractive Industries and Society";journal;"2214790X";1,127;Q1;24;176;313;11166;977;283;3,28;63,44;Netherlands;Western Europe;"Elsevier BV";"2014-2020";"Development (Q1); Economic Geology (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)"
56;22223;"Forest Policy and Economics";journal;"13899341";1,127;Q1;64;192;502;12163;1572;468;3,51;63,35;Netherlands;Western Europe;"Elsevier";"2000-2020";"Economics and Econometrics (Q1); Forestry (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)"
57;20291;"Ecological Engineering";journal;"09258574";1,122;Q1;118;320;1504;17384;6260;1481;3,84;54,33;Netherlands;Western Europe;"Elsevier";"1992-2020";"Environmental Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)"
58;16724;"Applied Vegetation Science";journal;"1654109X, 14022001";1,115;Q1;61;58;199;3862;620;186;2,82;66,59;United States;Northern America;"Wiley-Blackwell";"1998-2020";"Ecology (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)"
59;13273;"Environment and Planning B: Planning and Design";journal;"02658135";1,109;Q1;85;164;209;7288;637;163;3,58;44,44;United Kingdom;Western Europe;"SAGE Publications Ltd";"1984-2020";"Architecture (Q1); Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Urban Studies (Q1)"
60;16777;"Capitalism, Nature, Socialism";journal;"10455752, 15483290";1,096;Q1;28;59;119;2354;212;81;2,60;39,90;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1988-2020";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Political Science and International Relations (Q1)"
61;21100898535;"Internet Policy Review";journal;"21976775";1,090;Q1;10;46;62;2873;195;62;2,27;62,46;Germany;Western Europe;"Alexander von Humboldt Institute for Internet and Society";"2012-2020";"Communication (Q1); Computer Networks and Communications (Q1); Management, Monitoring, Policy and Law (Q1)"
62;21100788800;"Current Opinion in Green and Sustainable Chemistry";journal;"24522236";1,083;Q1;20;82;207;4221;1016;186;5,67;51,48;Netherlands;Western Europe;"Elsevier BV";"2016-2020";"Chemistry (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Process Chemistry and Technology (Q1); Waste Management and Disposal (Q1); Catalysis (Q2)"
63;6500153243;"International Review of Environmental and Resource Economics";journal;"19321465, 19321473";1,077;Q1;22;7;34;770;93;34;2,19;110,00;United States;Northern America;"Now Publishers Inc";"2007-2019";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Management, Monitoring, Policy and Law (Q1)"
64;21100786327;"Economics of Energy and Environmental Policy";journal;"21605890, 21605882";1,076;Q1;20;22;50;798;109;47;2,74;36,27;United States;Northern America;"International Association for Energy Economics";"2012-2020";"Economics and Econometrics (Q1); Energy (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1)"
65;21100229837;"Environmental Sciences: Processes and Impacts";journal;"20507887, 20507895";1,073;Q1;90;214;442;10559;1451;420;3,32;49,34;United Kingdom;Western Europe;"Royal Society of Chemistry";"2012-2020";"Management, Monitoring, Policy and Law (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Environmental Chemistry (Q2)"
66;50054;"Journal of Water Resources Planning and Management - ASCE";journal;"07339496";1,063;Q1;93;120;454;5395;1248;414;2,71;44,96;United States;Northern America;"American Society of Civil Engineers (ASCE)";"1980-2020";"Civil and Structural Engineering (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Water Science and Technology (Q1)"
67;17700156312;"Environmental Policy and Governance";journal;"1756932X, 17569338";1,024;Q1;45;38;119;2406;302;113;2,64;63,32;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2009-2020";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)"
68;20953;"Environmental Conservation";journal;"03768929, 14694387";1,018;Q1;83;47;131;2300;341;125;2,65;48,94;United Kingdom;Western Europe;"Cambridge University Press";"1974-2020";"Health, Toxicology and Mutagenesis (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Pollution (Q1); Water Science and Technology (Q1)"
69;21100310030;"Advances in Climate Change Research";journal;"16749278";1,009;Q1;18;21;90;864;309;85;3,58;41,14;China;Asiatic Region;"Science Press";"2010-2020";"Management, Monitoring, Policy and Law (Q1); Atmospheric Science (Q2); Global and Planetary Change (Q2)"
70;21100826425;"Environment and Planning C: Politics and Space";journal;"23996552, 23996544";0,998;Q1;66;120;226;7995;678;213;3,28;66,63;United Kingdom;Western Europe;"SAGE Publications Ltd";"2017-2020";"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Public Administration (Q1)"
71;13278;"International Journal of Housing Policy";journal;"19491247, 19491255";0,987;Q1;30;40;83;2183;244;78;3,31;54,58;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2020";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)"
72;21873;"Corporate Social Responsibility and Environmental Management";journal;"15353958, 15353966";0,974;Q1;66;138;195;10419;1043;187;5,31;75,50;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2003-2020";"Development (Q1); Management, Monitoring, Policy and Law (Q1); Strategy and Management (Q1)"
73;144785;"Rangeland Ecology and Management";journal;"15507424";0,970;Q1;67;124;254;7393;634;251;2,37;59,62;United States;Northern America;"Elsevier Inc.";"2005-2020";"Animal Science and Zoology (Q1); Ecology (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)"
74;21100206605;"Spatial Statistics";journal;"22116753";0,963;Q1;21;52;162;2135;297;160;1,94;41,06;Netherlands;Western Europe;"Elsevier BV";"2012-2020";"Computers in Earth Sciences (Q1); Management, Monitoring, Policy and Law (Q1); Statistics and Probability (Q2)"
75;27852;"Marine Resource Economics";journal;"23345985, 07381360";0,956;Q1;43;18;68;964;164;64;2,92;53,56;United States;Northern America;"University of Chicago Press";"1987, 1989, 1993-2019";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Oceanography (Q1); Economics and Econometrics (Q2)"
76;21100897530;"Ecosystems and People";journal;"26395908, 26395916";0,950;Q1;27;26;95;1910;285;85;3,47;73,46;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2019-2020";"Ecology, Evolution, Behavior and Systematics (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)"
77;13838;"Housing Policy Debate";journal;"10511482, 2152050X";0,945;Q1;64;75;160;3542;314;137;1,93;47,23;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990-2008, 2010-2020";"Development (Q1); Management, Monitoring, Policy and Law (Q1); Urban Studies (Q1)"
78;21100920679;"Global Sustainability";journal;"20594798";0,905;Q1;5;13;14;979;38;13;2,92;75,31;United Kingdom;Western Europe;"Cambridge University Press";"2018-2020";"Management, Monitoring, Policy and Law (Q1); Global and Planetary Change (Q2)"
79;21100224006;"Journal of World Energy Law and Business";journal;"17549965, 17549957";0,889;Q1;7;16;98;534;110;97;1,06;33,38;United States;Northern America;"Oxford University Press";"2012-2019";"Energy (miscellaneous) (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1)"
80;23375;"Journal of Environmental Quality";journal;"00472425, 15372537";0,884;Q1;160;217;589;12109;1606;582;2,25;55,80;United States;Northern America;"ASA/CSSA/SSSA";"1972-2020";"Environmental Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)"
81;21100870585;"Environmental Sociology";journal;"23251042";0,870;Q1;12;41;114;2783;224;104;2,17;67,88;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2020";"Ecology (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)"
82;27691;"Journal of Public Policy";journal;"14697815, 0143814X";0,864;Q1;46;47;68;3084;122;54;2,05;65,62;United Kingdom;Western Europe;"Cambridge University Press";"1981-2020";"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1)"
83;21100863819;"Journal of Integrated Pest Management";journal;"21557470";0,857;Q2;20;1;66;27;154;66;2,12;27,00;United Kingdom;Western Europe;"Oxford University Press";"2010-2020";"Agronomy and Crop Science (Q1); Insect Science (Q1); Plant Science (Q1); Management, Monitoring, Policy and Law (Q2)"
84;23346;"Journal of Environment and Development";journal;"15525465, 10704965";0,853;Q2;40;18;50;1056;136;47;2,22;58,67;United States;Northern America;"SAGE Publications Inc.";"1992-2020";"Development (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q2)"
85;14500154732;"Air Quality, Atmosphere and Health";journal;"18739326, 18739318";0,850;Q2;40;139;305;5624;974;296;3,17;40,46;Germany;Western Europe;"Springer Netherlands";"2008-2020";"Pollution (Q1); Atmospheric Science (Q2); Health, Toxicology and Mutagenesis (Q2); Management, Monitoring, Policy and Law (Q2)"
86;24499;"Wildlife Research";journal;"10353712";0,847;Q2;64;68;202;3969;369;201;1,76;58,37;Australia;Pacific Region;"CSIRO";"1974-2020";"Ecology, Evolution, Behavior and Systematics (Q2); Management, Monitoring, Policy and Law (Q2)"
87;16800154727;"Water Alternatives";journal;"19650175";0,845;Q2;39;58;131;3792;313;131;2,02;65,38;United States;Northern America;"";"2008-2019";"Geography, Planning and Development (Q1); Political Science and International Relations (Q1); Water Science and Technology (Q1); Management, Monitoring, Policy and Law (Q2)"
88;19700182745;"Environmental Communication";journal;"17524040, 17524032";0,844;Q2;25;103;185;5875;423;161;2,28;57,04;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2020";"Environmental Science (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q2)"
89;21100367128;"Environmental Nanotechnology, Monitoring and Management";journal;"22151532";0,840;Q2;22;83;161;4219;749;161;4,28;50,83;Netherlands;Western Europe;"Elsevier BV";"2014-2020";"Materials Science (miscellaneous) (Q1); Pollution (Q1); Water Science and Technology (Q1); Management, Monitoring, Policy and Law (Q2); Waste Management and Disposal (Q2)"
